PageType,Title,Slug,SourceFile,WordCount,UniqueValue,TechnicalDepth,GenericContentLevel,DuplicateRisk,TrustSignals,OriginalExamples,TroubleshootingQuality,SafetyQuality,InternalLinks,Images,Diagram,CodeQuality,AdSenseRisk,Classification,RecommendedAction,Priority
Trust/Utility,Editorial Policy,editorial-policy.html,content/pages/editorial-policy.yaml,450,Moderate,Strong,Medium,Low,Present,Present,Present,Present,30,1 image(s),Present,Not code-based,Low,A - STRONG,"Keep indexed; page has defensible browse, trust, or utility value.",P3
Trust/Utility,Hardware Testing Methodology,testing-methodology.html,content/pages/testing-methodology.yaml,340,Weak,Moderate,High,Low,Present,Present,Limited,Present,28,1 image(s),Present,Not code-based,Low,A - STRONG,"Keep indexed; page has defensible browse, trust, or utility value.",P3
Trust/Utility,Contact,contact.html,content/pages/contact.yaml,332,Weak,Moderate,High,Low,Present,Present,Present,Present,29,2 image(s),Present,Not code-based,Low,A - STRONG,"Keep indexed; page has defensible browse, trust, or utility value.",P3
Trust/Utility,Privacy Policy,privacy.html,content/pages/privacy.yaml,494,Moderate,Strong,Medium,Low,Present,Present,Limited,Present,30,1 image(s),Present,Not code-based,Low,A - STRONG,"Keep indexed; page has defensible browse, trust, or utility value.",P3
Trust/Utility,Terms of Service,terms.html,content/pages/terms.yaml,441,Weak,Strong,Medium,Low,Present,Present,Limited,Present,32,1 image(s),Present,Not code-based,Low,A - STRONG,"Keep indexed; page has defensible browse, trust, or utility value.",P3
Trust/Utility,Disclaimer,disclaimer.html,content/pages/disclaimer.yaml,416,Weak,Strong,Medium,Low,Present,Present,Present,Present,30,1 image(s),Present,Not code-based,Low,A - STRONG,"Keep indexed; page has defensible browse, trust, or utility value.",P3
Guide,Blink an LED with ESP32,guides/blink-led-esp32.html,content/guides/blink-led-esp32.yaml,1532,Strong,Strong,Low,Low,Present,Present,Present,Present,39,3 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Guide,What Is ESP32? Complete Beginner's Guide,guides/what-is-esp32.html,content/guides/what-is-esp32.yaml,3136,Strong,Strong,Low,Low,Present,Present,Present,Present,41,2 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Guide,Button Controls LED with ESP32,guides/button-led-control.html,content/guides/button-led-control.yaml,1932,Strong,Strong,Low,Low,Present,Present,Present,Present,45,2 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Guide,Read Temperature with DHT22,guides/read-temperature-dht22.html,content/guides/read-temperature-dht22.yaml,1900,Strong,Strong,Low,Low,Present,Present,Present,Present,40,2 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Guide,Connect OLED Display with ESP32,guides/connect-oled-esp32.html,content/guides/connect-oled-esp32.yaml,1107,Strong,Strong,Low,Low,Present,Present,Present,Present,42,2 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Guide,Understanding Digital Inputs and Floating Pins,guides/digital-inputs-floating-pins.html,content/guides/digital-inputs-floating-pins.yaml,3005,Strong,Strong,Low,Low,Present,Present,Present,Present,43,2 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Guide,Pull-up vs Pull-down Resistors,guides/pull-up-vs-pull-down-resistors.html,content/guides/pull-up-vs-pull-down-resistors.yaml,3678,Strong,Strong,Low,Low,Present,Present,Present,Present,45,2 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Guide,Button Debouncing,guides/debouncing-buttons.html,content/guides/debouncing-buttons.yaml,2250,Strong,Strong,Low,Low,Present,Present,Present,Present,44,2 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Guide,Multiple Buttons & State Detection,guides/multiple-buttons-state-detection.html,content/guides/multiple-buttons-state-detection.yaml,2694,Strong,Strong,Low,Low,Present,Present,Present,Present,47,2 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Guide,PWM Fundamentals,guides/pwm-fundamentals.html,content/guides/pwm-fundamentals.yaml,2356,Strong,Strong,Low,Low,Present,Present,Present,Present,43,2 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Guide,Analog Inputs,guides/analog-inputs.html,content/guides/analog-inputs.yaml,2424,Strong,Strong,Low,Low,Present,Present,Present,Present,44,2 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Guide,Analog Inputs: Reading the Real World,guides/analog-inputs-reading-real-world.html,content/guides/analog-inputs-reading-real-world.yaml,2274,Strong,Strong,Low,Low,Present,Present,Present,Present,44,2 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Guide,OLED Display with ESP32,guides/oled-display-esp32.html,content/guides/oled-display-esp32.yaml,2804,Strong,Strong,Low,Low,Present,Present,Present,Present,48,2 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Guide,Reading Analog Sensors,guides/reading-analog-sensors.html,content/guides/reading-analog-sensors.yaml,2303,Strong,Strong,Low,Low,Present,Present,Present,Present,43,2 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Guide,I2C Communication,guides/i2c-communication.html,content/guides/i2c-communication.yaml,2583,Strong,Strong,Low,Low,Present,Present,Present,Present,47,2 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Guide,Reading Environmental Sensors,guides/environmental-sensors.html,content/guides/environmental-sensors.yaml,2731,Strong,Strong,Low,Low,Present,Present,Present,Present,46,2 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Guide,Smart Environment Monitor,guides/smart-environment-monitor-capstone.html,content/guides/smart-environment-monitor-capstone.yaml,2962,Strong,Strong,Low,Low,Present,Present,Present,Present,46,2 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Guide,Installing Arduino IDE for ESP32: Complete Setup Guide,guides/installing-arduino-ide-esp32.html,content/guides/installing-arduino-ide-esp32.yaml,2965,Strong,Strong,Low,Low,Present,Present,Present,Present,38,2 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Component,BME280 ESP32 Sensor Wiring and Code,components/bme280.html,content/components/bme280.yaml,4331,Strong,Strong,Low,Low,Present,Present,Present,Present,43,4 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Component,DHT22 Sensor with ESP32,components/dht22.html,content/components/dht22.yaml,3713,Strong,Strong,Low,Low,Present,Present,Present,Present,46,2 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Component,ESP32-CAM (AI-Thinker),components/esp32-cam.html,content/components/esp32-cam.yaml,2875,Strong,Strong,Low,Low,Present,Present,Present,Present,42,1 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Component,ESP32 DevKit Pinout and Board Guide,components/esp32-devkit.html,content/components/esp32-devkit.yaml,4012,Strong,Strong,Low,Low,Present,Present,Present,Present,57,2 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Component,HC-SR04 Ultrasonic Distance Sensor,components/hc-sr04.html,content/components/hc-sr04.yaml,2909,Strong,Strong,Low,Low,Present,Present,Present,Present,44,2 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Component,HC-SR501 PIR Motion Sensor,components/pir-sensor.html,content/components/pir-sensor.yaml,2589,Strong,Strong,Low,Low,Present,Present,Present,Present,44,2 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Component,1-Channel Relay Module,components/relay-module.html,content/components/relay-module.yaml,2682,Strong,Strong,Low,Low,Present,Present,Present,Present,43,2 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Component,SSD1306 OLED Display with ESP32,components/ssd1306-oled.html,content/components/ssd1306-oled.yaml,2853,Strong,Strong,Low,Low,Present,Present,Present,Present,43,2 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Trust/Utility,ESP32 AI Projects,category/ai-projects.html,content/categories.yaml; tools/build_categories.py,312,Weak,Moderate,High,Low,Present,Present,Limited,Present,46,1 image(s),Present,Not code-based,Low,A - STRONG,"Keep indexed; page has defensible browse, trust, or utility value.",P3
Trust/Utility,Agriculture Projects,category/agriculture.html,content/categories.yaml; tools/build_categories.py,339,Weak,Moderate,High,Low,Present,Present,Limited,Present,50,1 image(s),Present,Not code-based,Low,A - STRONG,"Keep indexed; page has defensible browse, trust, or utility value.",P3
Trust/Utility,Display Projects,category/display-projects.html,content/categories.yaml; tools/build_categories.py,312,Weak,Moderate,High,Low,Present,Present,Present,Present,50,1 image(s),Present,Not code-based,Low,A - STRONG,"Keep indexed; page has defensible browse, trust, or utility value.",P3
Trust/Utility,ESP32-CAM Projects,category/esp32-cam.html,content/categories.yaml; tools/build_categories.py,317,Weak,Moderate,High,Low,Present,Present,Present,Present,48,1 image(s),Present,Not code-based,Low,A - STRONG,"Keep indexed; page has defensible browse, trust, or utility value.",P3
Trust/Utility,Education Projects,category/education.html,content/categories.yaml; tools/build_categories.py,302,Weak,Moderate,High,Low,Present,Present,Present,Present,48,1 image(s),Present,Not code-based,Low,A - STRONG,"Keep indexed; page has defensible browse, trust, or utility value.",P3
Trust/Utility,Energy Monitoring Projects,category/energy-monitoring.html,content/categories.yaml; tools/build_categories.py,327,Weak,Moderate,High,Low,Present,Present,Limited,Present,50,1 image(s),Present,Not code-based,Low,A - STRONG,"Keep indexed; page has defensible browse, trust, or utility value.",P3
Trust/Utility,Environmental Projects,category/environmental.html,content/categories.yaml; tools/build_categories.py,329,Weak,Moderate,High,Low,Present,Present,Present,Present,50,1 image(s),Present,Not code-based,Low,A - STRONG,"Keep indexed; page has defensible browse, trust, or utility value.",P3
Trust/Utility,Healthcare Projects,category/healthcare.html,content/categories.yaml; tools/build_categories.py,341,Weak,Moderate,High,Low,Present,Present,Present,Present,47,1 image(s),Present,Not code-based,Low,A - STRONG,"Keep indexed; page has defensible browse, trust, or utility value.",P3
Trust/Utility,ESP32 Home Automation Projects,category/home-automation.html,content/categories.yaml; tools/build_categories.py,442,Weak,Strong,Medium,Low,Present,Present,Limited,Present,55,1 image(s),Present,Not code-based,Low,A - STRONG,"Keep indexed; page has defensible browse, trust, or utility value.",P3
Trust/Utility,Industrial Automation Projects,category/industrial-automation.html,content/categories.yaml; tools/build_categories.py,392,Weak,Moderate,Medium,Low,Present,Present,Limited,Present,52,1 image(s),Present,Not code-based,Low,A - STRONG,"Keep indexed; page has defensible browse, trust, or utility value.",P3
Trust/Utility,IoT Projects,category/iot-projects.html,content/categories.yaml; tools/build_categories.py,306,Weak,Moderate,High,Low,Present,Present,Present,Present,44,1 image(s),Present,Not code-based,Low,A - STRONG,"Keep indexed; page has defensible browse, trust, or utility value.",P3
Trust/Utility,LED Projects,category/led-projects.html,content/categories.yaml; tools/build_categories.py,341,Weak,Moderate,High,Low,Present,Present,Limited,Present,48,1 image(s),Present,Not code-based,Low,A - STRONG,"Keep indexed; page has defensible browse, trust, or utility value.",P3
Trust/Utility,Robotics Projects,category/robotics.html,content/categories.yaml; tools/build_categories.py,325,Weak,Moderate,High,Low,Present,Present,Present,Present,48,1 image(s),Present,Not code-based,Low,A - STRONG,"Keep indexed; page has defensible browse, trust, or utility value.",P3
Trust/Utility,Security Projects,category/security-projects.html,content/categories.yaml; tools/build_categories.py,306,Weak,Moderate,High,Low,Present,Present,Present,Present,47,1 image(s),Present,Not code-based,Low,A - STRONG,"Keep indexed; page has defensible browse, trust, or utility value.",P3
Trust/Utility,Sensor Projects,category/sensor-projects.html,content/categories.yaml; tools/build_categories.py,317,Weak,Moderate,High,Low,Present,Present,Present,Present,51,1 image(s),Present,Not code-based,Low,A - STRONG,"Keep indexed; page has defensible browse, trust, or utility value.",P3
Trust/Utility,Smart City Projects,category/smart-city.html,content/categories.yaml; tools/build_categories.py,339,Weak,Moderate,High,Low,Present,Present,Present,Present,50,1 image(s),Present,Not code-based,Low,A - STRONG,"Keep indexed; page has defensible browse, trust, or utility value.",P3
Hub,ESP32 Projects: Beginner to Advanced Builds,projects.html,,2210,Strong,Moderate,Low,Low,Present,Present,Present,Present,144,50 image(s),Present,Not code-based,Low,A - STRONG,"Keep indexed; page has defensible browse, trust, or utility value.",P3
Project,Build an Isolated AC Current Monitor Prototype,projects/esp32-ac-power-monitor.html,content/projects/esp32-ac-power-monitor.yaml,1487,Strong,Strong,Low,Low,Present,Present,Present,Present,39,3 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Project,ESP32-CAM Color Object Detector Demo,projects/esp32-ai-object-detector.html,content/projects/esp32-ai-object-detector.yaml,1801,Strong,Strong,Low,Low,Present,Present,Present,Present,42,3 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Project,ESP32 Air Quality Monitor,projects/esp32-air-quality-monitor.html,content/projects/esp32-air-quality-monitor.yaml,1777,Strong,Strong,Low,Low,Present,Present,Present,Present,40,3 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Project,ESP32 BLE Beacon and iBeacon Tutorial,projects/esp32-ble-beacon.html,content/projects/esp32-ble-beacon.yaml,1736,Strong,Strong,Low,Low,Present,Present,Present,Present,41,3 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Project,Build an ESP32-CAM Face Detection Privacy Demo,projects/esp32-cam-face-detection.html,content/projects/esp32-cam-face-detection.yaml,1741,Strong,Strong,Low,Low,Present,Present,Present,Present,41,3 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Project,ESP32-CAM QR Code Scanner,projects/esp32-cam-qr-scanner.html,content/projects/esp32-cam-qr-scanner.yaml,2042,Strong,Strong,Low,Low,Present,Present,Present,Present,42,3 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Project,ESP32 Camera Capture Server,projects/esp32-camera-capture-server.html,content/projects/esp32-camera-capture-server.yaml,1988,Strong,Strong,Low,Low,Present,Present,Present,Present,40,2 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Project,Build a Low-Voltage CNC Motion Controller Demo,projects/esp32-cnc-controller.html,content/projects/esp32-cnc-controller.yaml,1500,Strong,Strong,Low,Low,Present,Present,Present,Present,39,3 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Project,ESP32 Digital Piano,projects/esp32-digital-piano.html,content/projects/esp32-digital-piano.yaml,1462,Strong,Strong,Low,Low,Present,Present,Present,Present,38,3 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Project,ESP32 Distance Monitoring System,projects/esp32-distance-monitoring-system.html,content/projects/esp32-distance-monitoring-system.yaml,1500,Strong,Strong,Low,Low,Present,Present,Present,Present,43,2 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Project,Build an Educational ECG Waveform Viewer,projects/esp32-ecg-monitor.html,content/projects/esp32-ecg-monitor.yaml,1375,Strong,Strong,Low,Low,Present,Present,Present,Present,39,3 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Project,ESP32 Fire Alarm System,projects/esp32-fire-alarm-system.html,content/projects/esp32-fire-alarm-system.yaml,1750,Strong,Strong,Low,Low,Present,Present,Present,Present,41,3 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Project,Build an APDS-9960 Gesture Control Demo,projects/esp32-gesture-recognition.html,content/projects/esp32-gesture-recognition.yaml,1438,Strong,Strong,Low,Low,Present,Present,Present,Present,39,3 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Project,Build a Local NEO-6M GPS Reader,projects/esp32-gps-tracker.html,content/projects/esp32-gps-tracker.yaml,1339,Strong,Strong,Low,Low,Present,Present,Present,Present,39,3 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Project,Build a Low-Voltage Greenhouse Vent Controller,projects/esp32-greenhouse-automation-controller.html,content/projects/esp32-greenhouse-automation-controller.yaml,1569,Strong,Strong,Low,Low,Present,Present,Present,Present,45,3 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Project,ESP32 Home Climate Automation,projects/esp32-home-climate-automation.html,content/projects/esp32-home-climate-automation.yaml,1642,Strong,Strong,Low,Low,Present,Present,Present,Present,43,3 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Project,ESP32 IoT Weather Station: BME280 Arduino Code,projects/esp32-iot-weather-station.html,content/projects/esp32-iot-weather-station.yaml,2224,Strong,Strong,Low,Low,Present,Present,Present,Present,46,3 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Project,ESP32 IR Remote Control: IRremote Receive and Send,projects/esp32-ir-remote-control.html,content/projects/esp32-ir-remote-control.yaml,1787,Strong,Strong,Low,Low,Present,Present,Present,Present,40,3 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Project,ESP32 Learning Trainer Board,projects/esp32-learning-trainer.html,content/projects/esp32-learning-trainer.yaml,1237,Strong,Strong,Low,Low,Present,Present,Present,Present,38,3 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Project,ESP32 LED Matrix Display: MAX7219 Scrolling Text,projects/esp32-led-matrix-display.html,content/projects/esp32-led-matrix-display.yaml,1760,Strong,Strong,Low,Low,Present,Present,Present,Present,41,3 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Project,ESP32 Lightning Detector: AS3935 Sensor Demo,projects/esp32-lightning-detector.html,content/projects/esp32-lightning-detector.yaml,1972,Strong,Strong,Low,Low,Present,Present,Present,Present,43,3 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Project,ESP32 Line Following Robot,projects/esp32-line-following-robot.html,content/projects/esp32-line-following-robot.yaml,2751,Strong,Strong,Low,Low,Present,Present,Present,Present,42,3 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Project,ESP32 LoRa Remote Sensor Node (Point-to-Point),projects/esp32-lora-remote-sensor-node.html,content/projects/esp32-lora-remote-sensor-node.yaml,1600,Strong,Strong,Low,Low,Present,Present,Present,Present,41,3 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Project,ESP32 Machine Monitoring Node,projects/esp32-machine-monitoring-node.html,content/projects/esp32-machine-monitoring-node.yaml,1275,Strong,Strong,Low,Low,Present,Present,Present,Present,40,3 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Project,ESP32 Motion Security Alert,projects/esp32-motion-security-alert.html,content/projects/esp32-motion-security-alert.yaml,1878,Strong,Strong,Low,Low,Present,Present,Present,Present,45,3 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Project,ESP32 MQTT Sensor Dashboard,projects/esp32-mqtt-sensor-dashboard.html,content/projects/esp32-mqtt-sensor-dashboard.yaml,1911,Strong,Strong,Low,Low,Present,Present,Present,Present,44,3 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Project,ESP32 NeoPixel Music Visualizer (Amplitude-Reactive),projects/esp32-neopixel-music-visualizer.html,content/projects/esp32-neopixel-music-visualizer.yaml,1543,Strong,Strong,Low,Low,Present,Present,Present,Present,39,2 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Project,ESP32 OLED Weather Clock,projects/esp32-oled-weather-clock.html,content/projects/esp32-oled-weather-clock.yaml,2107,Strong,Strong,Low,Low,Present,Present,Present,Present,44,2 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Project,Build an Educational Pulse Oximeter Logger,projects/esp32-pulse-oximeter-logger.html,content/projects/esp32-pulse-oximeter-logger.yaml,1535,Strong,Strong,Low,Low,Present,Present,Present,Present,39,2 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Project,ESP32 RFID Access Control System,projects/esp32-rfid-access-control-system.html,content/projects/esp32-rfid-access-control-system.yaml,1855,Strong,Strong,Low,Low,Present,Present,Present,Present,41,2 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Project,ESP32 RFID Inventory Tracker,projects/esp32-rfid-inventory-tracker.html,content/projects/esp32-rfid-inventory-tracker.yaml,1727,Strong,Strong,Low,Low,Present,Present,Present,Present,40,2 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Project,ESP32 RGB LED Pattern Controller,projects/esp32-rgb-led-pattern-controller.html,content/projects/esp32-rgb-led-pattern-controller.yaml,1381,Strong,Strong,Low,Low,Present,Present,Present,Present,39,2 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Project,ESP32 Educational Servo Arm Controller (3-DOF),projects/esp32-robot-arm-controller.html,content/projects/esp32-robot-arm-controller.yaml,1614,Strong,Strong,Low,Low,Present,Present,Present,Present,42,2 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Project,ESP32-CAM Local Network Camera Demo,projects/esp32-security-camera-system.html,content/projects/esp32-security-camera-system.yaml,1913,Strong,Strong,Low,Low,Present,Present,Present,Present,41,2 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Project,ESP32 Smart Door Lock,projects/esp32-smart-door-lock.html,content/projects/esp32-smart-door-lock.yaml,1831,Strong,Strong,Low,Low,Present,Present,Present,Present,39,2 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Project,ESP32 Low-Voltage Energy Meter Demo,projects/esp32-smart-energy-meter.html,content/projects/esp32-smart-energy-meter.yaml,1319,Strong,Strong,Low,Low,Present,Present,Present,Present,40,2 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Project,ESP32 Smart Irrigation System,projects/esp32-smart-irrigation-system.html,content/projects/esp32-smart-irrigation-system.yaml,1617,Strong,Strong,Low,Low,Present,Present,Present,Present,42,2 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Project,ESP32 Smart Mailbox,projects/esp32-smart-mailbox.html,content/projects/esp32-smart-mailbox.yaml,1556,Strong,Strong,Low,Low,Present,Present,Present,Present,41,2 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Project,ESP32 Smart Parking Sensor,projects/esp32-smart-parking-sensor.html,content/projects/esp32-smart-parking-sensor.yaml,2067,Strong,Strong,Low,Low,Present,Present,Present,Present,46,3 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Project,Build a Low-Voltage Smart Power Strip Simulator,projects/esp32-smart-power-strip.html,content/projects/esp32-smart-power-strip.yaml,1682,Strong,Strong,Low,Low,Present,Present,Present,Present,39,2 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Project,ESP32 Smart Street Light,projects/esp32-smart-street-light.html,content/projects/esp32-smart-street-light.yaml,1810,Strong,Strong,Low,Low,Present,Present,Present,Present,44,3 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Project,ESP32 Smart Thermostat: Temperature Control and Code,projects/esp32-smart-thermostat.html,content/projects/esp32-smart-thermostat.yaml,2473,Strong,Strong,Low,Low,Present,Present,Present,Present,49,2 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Project,ESP32 Soil Moisture Monitor,projects/esp32-soil-moisture-monitor.html,content/projects/esp32-soil-moisture-monitor.yaml,2134,Strong,Strong,Low,Low,Present,Present,Present,Present,41,3 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Project,Build an Educational Soil pH Monitor,projects/esp32-soil-ph-monitor.html,content/projects/esp32-soil-ph-monitor.yaml,1575,Strong,Strong,Low,Low,Present,Present,Present,Present,39,2 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Project,ESP32 UV Index Monitor (Educational Estimate),projects/esp32-uv-index-monitor.html,content/projects/esp32-uv-index-monitor.yaml,1348,Strong,Strong,Low,Low,Present,Present,Present,Present,41,2 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Project,ESP32 Vibration Monitor,projects/esp32-vibration-monitor.html,content/projects/esp32-vibration-monitor.yaml,1353,Strong,Strong,Low,Low,Present,Present,Present,Present,38,2 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Project,ESP32 Sound-Triggered Relay Demo,projects/esp32-voice-controlled-relay.html,content/projects/esp32-voice-controlled-relay.yaml,1606,Strong,Strong,Low,Low,Present,Present,Present,Present,40,2 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Project,ESP32 Water Leak Detector,projects/esp32-water-leak-detector.html,content/projects/esp32-water-leak-detector.yaml,2049,Strong,Strong,Low,Low,Present,Present,Present,Present,43,3 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
Project,ESP32 WiFi Robot Controller,projects/esp32-wifi-robot-controller.html,content/projects/esp32-wifi-robot-controller.yaml,1704,Strong,Strong,Low,Low,Present,Present,Present,Present,41,2 image(s),Present,Present,Low,A - STRONG,Keep; monitor performance.,P3
