"Page","Image Role","Current Path","Current Size","Desktop Rendered","Mobile Rendered","Expected Ratio","CSS Behavior","Reused Roles","Separate Sizes Needed","Recommended Size","Max File Size","Format","Quality/Compression","Action","Notes","Alt","Loading","Fetch Priority","Width Attr","Height Attr","File Bytes"
"index.html","featured/card","(inline SVG placeholder)","inline SVG","112x88","88x74","16:10","object-fit:fill; object-position:50% 50%; max-height:none; css:112pxx88px; aspect-ratio:16 / 10","no","no","800x500","90 KB","WebP","WebP q76-82","NEEDS NEW IMAGE","Visible card/thumbnail placeholder; new generated asset can improve discovery without changing layout.","","","","","",""
"index.html","featured/card","(inline SVG placeholder)","inline SVG","112x88","88x74","16:10","object-fit:fill; object-position:50% 50%; max-height:none; css:112pxx88px; aspect-ratio:16 / 10","no","no","800x500","90 KB","WebP","WebP q76-82","NEEDS NEW IMAGE","Visible card/thumbnail placeholder; new generated asset can improve discovery without changing layout.","","","","","",""
"index.html","featured/card","(inline SVG placeholder)","inline SVG","112x88","88x74","16:10","object-fit:fill; object-position:50% 50%; max-height:none; css:112pxx88px; aspect-ratio:16 / 10","no","no","800x500","90 KB","WebP","WebP q76-82","NEEDS NEW IMAGE","Visible card/thumbnail placeholder; new generated asset can improve discovery without changing layout.","","","","","",""
"index.html","featured/card","(inline SVG placeholder)","inline SVG","112x88","88x74","16:10","object-fit:fill; object-position:50% 50%; max-height:none; css:112pxx88px; aspect-ratio:16 / 10","no","no","800x500","90 KB","WebP","WebP q76-82","NEEDS NEW IMAGE","Visible card/thumbnail placeholder; new generated asset can improve discovery without changing layout.","","","","","",""
"index.html","featured/card","(inline SVG placeholder)","inline SVG","112x88","88x74","16:10","object-fit:fill; object-position:50% 50%; max-height:none; css:112pxx88px; aspect-ratio:16 / 10","no","no","800x500","90 KB","WebP","WebP q76-82","NEEDS NEW IMAGE","Visible card/thumbnail placeholder; new generated asset can improve discovery without changing layout.","","","","","",""
"index.html","featured/card","(inline SVG placeholder)","inline SVG","112x88","88x74","16:10","object-fit:fill; object-position:50% 50%; max-height:none; css:112pxx88px; aspect-ratio:16 / 10","no","no","800x500","90 KB","WebP","WebP q76-82","NEEDS NEW IMAGE","Visible card/thumbnail placeholder; new generated asset can improve discovery without changing layout.","","","","","",""
"index.html","featured/card","(inline SVG placeholder)","inline SVG","112x88","88x74","16:10","object-fit:fill; object-position:50% 50%; max-height:none; css:112pxx88px; aspect-ratio:16 / 10","no","no","800x500","90 KB","WebP","WebP q76-82","NEEDS NEW IMAGE","Visible card/thumbnail placeholder; new generated asset can improve discovery without changing layout.","","","","","",""
"index.html","og:image","/assets/images/og/esp32-engine-home.webp","1200x630","0x0","0x0","1.91:1","meta only; no rendered CSS","no","no","1200x630","160 KB","WebP","WebP q78-84 or AVIF q45-55","KEEP","OG ratio matches social standard.","","","","1200","630","45924"
"guides.html","other","/assets/images/heroes/guides-hero.webp","1024x572","426x300","322x300","16:9","object-fit:cover; object-position:50% 50%; max-height:none; css:426pxx300px; aspect-ratio:auto 1024 / 576","no","no","1200x675","140 KB","WebP","WebP q78-84","KEEP","","ESP32 guide workspace with development board, laptop, and printed wiring notes","eager","","1024","576","77856"
"guides.html","featured/card","/assets/images/generated/esp32-blink-led-guide.webp","1600x900","231x144","304x190","16:10","object-fit:contain; object-position:50% 50%; max-height:none; css:231pxx144.375px; aspect-ratio:auto 1024 / 576","no","no","800x500","90 KB","WebP","WebP q76-82","KEEP","Already optimized generated asset; preserve unless crop/content is specifically rejected.","Blink an LED with ESP32 guide illustration","lazy","","1024","576","93104"
"guides.html","featured/card","/assets/images/academy/academy-mission-04.webp","1376x768","231x144","304x190","16:10","object-fit:contain; object-position:50% 50%; max-height:none; css:231pxx144.375px; aspect-ratio:auto 1024 / 576","no","no","800x500","90 KB","WebP","WebP q76-82","KEEP","","Button Controls LED with ESP32 guide illustration","lazy","","1024","576","145956"
"guides.html","featured/card","/assets/images/guides/generated/temperature-sensor-serial-output-640.webp","475x267","231x144","304x190","16:10","object-fit:contain; object-position:50% 50%; max-height:none; css:231pxx144.375px; aspect-ratio:auto 640 / 360","no","no","800x500","90 KB","WebP","WebP q76-82","KEEP","Already optimized generated asset; preserve unless crop/content is specifically rejected.","Read Temperature with DHT22 guide illustration","lazy","","640","360","20290"
"guides.html","featured/card","/assets/images/generated/esp32-connect-oled-guide.webp","1600x900","231x144","304x190","16:10","object-fit:contain; object-position:50% 50%; max-height:none; css:231pxx144.375px; aspect-ratio:auto 1024 / 576","no","no","800x500","90 KB","WebP","WebP q76-82","KEEP","Already optimized generated asset; preserve unless crop/content is specifically rejected.","Connect OLED Display with ESP32 guide illustration","lazy","","1024","576","93116"
"guides.html","featured/card","/assets/images/academy/academy-mission-05.webp","1376x768","231x144","304x190","16:10","object-fit:contain; object-position:50% 50%; max-height:none; css:231pxx144.375px; aspect-ratio:auto 1024 / 576","no","no","800x500","90 KB","WebP","WebP q76-82","KEEP","","Understanding Digital Inputs and Floating Pins guide illustration","lazy","","1024","576","145702"
"guides.html","featured/card","/assets/images/academy/academy-mission-06.webp","1376x768","231x144","304x190","16:10","object-fit:contain; object-position:50% 50%; max-height:none; css:231pxx144.375px; aspect-ratio:auto 1024 / 576","no","no","800x500","90 KB","WebP","WebP q76-82","KEEP","","Pull-up vs Pull-down Resistors guide illustration","lazy","","1024","576","154102"
"guides.html","featured/card","/assets/images/academy/academy-mission-07.webp","1376x768","231x144","304x190","16:10","object-fit:contain; object-position:50% 50%; max-height:none; css:231pxx144.375px; aspect-ratio:auto 1024 / 576","no","no","800x500","90 KB","WebP","WebP q76-82","KEEP","","Button Debouncing guide illustration","lazy","","1024","576","147252"
"guides.html","featured/card","/assets/images/academy/academy-mission-08.webp","1376x768","231x144","304x190","16:10","object-fit:contain; object-position:50% 50%; max-height:none; css:231pxx144.375px; aspect-ratio:auto 1024 / 576","no","no","800x500","90 KB","WebP","WebP q76-82","KEEP","","Multiple Buttons & State Detection guide illustration","lazy","","1024","576","155142"
"guides.html","featured/card","/assets/images/academy/academy-mission-09.webp","1376x768","231x144","304x190","16:10","object-fit:contain; object-position:50% 50%; max-height:none; css:231pxx144.375px; aspect-ratio:auto 1024 / 576","no","no","800x500","90 KB","WebP","WebP q76-82","KEEP","","PWM Fundamentals guide illustration","lazy","","1024","576","112126"
"guides.html","featured/card","/assets/images/academy/academy-mission-10.webp","1803x576","231x144","304x190","16:10","object-fit:contain; object-position:50% 50%; max-height:none; css:231pxx144.375px; aspect-ratio:auto 1024 / 576","no","no","800x500","90 KB","WebP","WebP q76-82","KEEP","","Analog Inputs guide illustration","lazy","","1024","576","133554"
"guides.html","featured/card","/assets/images/guides/generated/analog-input-serial-monitor-640.webp","475x267","231x144","304x190","16:10","object-fit:contain; object-position:50% 50%; max-height:none; css:231pxx144.375px; aspect-ratio:auto 640 / 360","no","no","800x500","90 KB","WebP","WebP q76-82","KEEP","Already optimized generated asset; preserve unless crop/content is specifically rejected.","Analog Inputs: Reading the Real World guide illustration","lazy","","640","360","28700"
"guides.html","featured/card","/assets/images/academy/academy-mission-11.webp","1376x768","231x144","304x190","16:10","object-fit:contain; object-position:50% 50%; max-height:none; css:231pxx144.375px; aspect-ratio:auto 1024 / 576","no","no","800x500","90 KB","WebP","WebP q76-82","KEEP","","OLED Display with ESP32 guide illustration","lazy","","1024","576","114746"
"guides.html","featured/card","/assets/images/guides/generated/analog-sensor-bench-640.webp","475x267","231x144","304x190","16:10","object-fit:contain; object-position:50% 50%; max-height:none; css:231pxx144.375px; aspect-ratio:auto 640 / 360","no","no","800x500","90 KB","WebP","WebP q76-82","KEEP","Already optimized generated asset; preserve unless crop/content is specifically rejected.","Reading Analog Sensors guide illustration","lazy","","640","360","17548"
"guides.html","featured/card","/assets/images/academy/academy-mission-12.webp","1376x768","231x144","304x190","16:10","object-fit:contain; object-position:50% 50%; max-height:none; css:231pxx144.375px; aspect-ratio:auto 1024 / 576","no","no","800x500","90 KB","WebP","WebP q76-82","KEEP","","I2C Communication guide illustration","lazy","","1024","576","119960"
"guides.html","featured/card","/assets/images/guides/generated/environmental-sensor-modules-640.webp","475x267","231x144","304x190","16:10","object-fit:contain; object-position:50% 50%; max-height:none; css:231pxx144.375px; aspect-ratio:auto 640 / 360","no","no","800x500","90 KB","WebP","WebP q76-82","KEEP","Already optimized generated asset; preserve unless crop/content is specifically rejected.","Reading Environmental Sensors guide illustration","lazy","","640","360","18870"
"guides.html","featured/card","/assets/images/guides/generated/smart-environment-dashboard-640.webp","475x267","231x144","304x190","16:10","object-fit:contain; object-position:50% 50%; max-height:none; css:231pxx144.375px; aspect-ratio:auto 640 / 360","no","no","800x500","90 KB","WebP","WebP q76-82","KEEP","Already optimized generated asset; preserve unless crop/content is specifically rejected.","Smart Environment Monitor guide illustration","lazy","","640","360","20392"
"guides.html","featured/card","/assets/images/guides/generated/what-is-esp32-overview-640.webp","475x267","547x342","313x196","16:10","object-fit:contain; object-position:50% 50%; max-height:none; css:547pxx341.875px; aspect-ratio:auto 640 / 360","no","no","800x500","90 KB","WebP","WebP q76-82","OPTIONAL REPLACE","Already optimized generated asset; preserve unless crop/content is specifically rejected. Source is slightly smaller than desktop render; use a larger source for crisp high-DPI displays.","What Is ESP32? Complete Beginner's Guide guide illustration","lazy","","640","360","24058"
"guides.html","featured/card","/assets/images/guides/generated/arduino-ide-esp32-setup-640.webp","475x267","547x342","313x196","16:10","object-fit:contain; object-position:50% 50%; max-height:none; css:547pxx341.875px; aspect-ratio:auto 640 / 360","no","no","800x500","90 KB","WebP","WebP q76-82","OPTIONAL REPLACE","Already optimized generated asset; preserve unless crop/content is specifically rejected. Source is slightly smaller than desktop render; use a larger source for crisp high-DPI displays.","Installing Arduino IDE for ESP32: Complete Setup Guide guide illustration","lazy","","640","360","17580"
"guides.html","og:image","/assets/images/og/esp32-learning-guides.webp","1200x630","0x0","0x0","1.91:1","meta only; no rendered CSS","no","no","1200x630","160 KB","WebP","WebP q78-84 or AVIF q45-55","KEEP","OG ratio matches social standard.","","","","1200","630","51702"
"projects.html","featured/card","/assets/images/projects/project-a-16.webp","1376x768","215x121","356x200","16:9","object-fit:cover; object-position:50% 50%; max-height:none; css:215pxx120.938px; aspect-ratio:auto 1376 / 768","no","no","800x450","90 KB","WebP","WebP q76-82","OPTIONAL REPLACE","Generic legacy project/social image; optional replacement with page-specific crop. Missing/empty alt text; decorative is okay only when intentionally empty.","","lazy","","1376","768","218516"
"projects.html","featured/card","/assets/images/projects/project-a-17.webp","1376x768","215x121","356x200","16:9","object-fit:cover; object-position:50% 50%; max-height:none; css:215pxx120.938px; aspect-ratio:auto 1376 / 768","no","no","800x450","90 KB","WebP","WebP q76-82","OPTIONAL REPLACE","Generic legacy project/social image; optional replacement with page-specific crop. Missing/empty alt text; decorative is okay only when intentionally empty.","","lazy","","1376","768","222262"
"projects.html","featured/card","/assets/images/projects/project-b-02.webp","1376x768","215x121","356x200","16:9","object-fit:cover; object-position:50% 50%; max-height:none; css:215pxx120.938px; aspect-ratio:auto 1376 / 768","no","no","800x450","90 KB","WebP","WebP q76-82","OPTIONAL REPLACE","Generic legacy project/social image; optional replacement with page-specific crop. Missing/empty alt text; decorative is okay only when intentionally empty.","","lazy","","1376","768","231784"
"projects.html","featured/card","/assets/images/projects/project-b-05.webp","1376x768","215x121","356x200","16:9","object-fit:cover; object-position:50% 50%; max-height:none; css:215pxx120.938px; aspect-ratio:auto 1376 / 768","no","no","800x450","90 KB","WebP","WebP q76-82","OPTIONAL REPLACE","Generic legacy project/social image; optional replacement with page-specific crop. Missing/empty alt text; decorative is okay only when intentionally empty.","","lazy","","1376","768","117850"
"projects.html","featured/card","/assets/images/projects/project-b-08.webp","1376x768","215x121","356x200","16:9","object-fit:cover; object-position:50% 50%; max-height:none; css:215pxx120.938px; aspect-ratio:auto 1376 / 768","no","no","800x450","90 KB","WebP","WebP q76-82","OPTIONAL REPLACE","Generic legacy project/social image; optional replacement with page-specific crop. Missing/empty alt text; decorative is okay only when intentionally empty.","","lazy","","1376","768","112394"
"projects.html","featured/card","/assets/images/projects/project-b-10.webp","1376x768","215x121","356x200","16:9","object-fit:cover; object-position:50% 50%; max-height:none; css:215pxx120.938px; aspect-ratio:auto 1376 / 768","no","no","800x450","90 KB","WebP","WebP q76-82","OPTIONAL REPLACE","Generic legacy project/social image; optional replacement with page-specific crop. Missing/empty alt text; decorative is okay only when intentionally empty.","","lazy","","1376","768","119640"
"projects.html","featured/card","/assets/images/projects/project-b-15.webp","1376x768","215x121","356x200","16:9","object-fit:cover; object-position:50% 50%; max-height:none; css:215pxx120.938px; aspect-ratio:auto 1376 / 768","no","no","800x450","90 KB","WebP","WebP q76-82","OPTIONAL REPLACE","Generic legacy project/social image; optional replacement with page-specific crop. Missing/empty alt text; decorative is okay only when intentionally empty.","","lazy","","1376","768","117412"
"projects.html","featured/card","/assets/images/projects/project-b-17.webp","1376x768","215x121","356x200","16:9","object-fit:cover; object-position:50% 50%; max-height:none; css:215pxx120.938px; aspect-ratio:auto 1376 / 768","no","no","800x450","90 KB","WebP","WebP q76-82","OPTIONAL REPLACE","Generic legacy project/social image; optional replacement with page-specific crop. Missing/empty alt text; decorative is okay only when intentionally empty.","","lazy","","1376","768","121790"
"projects.html","featured/card","/assets/images/generated/esp32-smart-thermostat.webp","1600x900","215x121","356x200","16:9","object-fit:cover; object-position:50% 50%; max-height:none; css:215pxx120.938px; aspect-ratio:auto 1376 / 768","no","no","800x450","90 KB","WebP","WebP q76-82","OPTIONAL REPLACE","Already optimized generated asset; preserve unless crop/content is specifically rejected. Missing/empty alt text; decorative is okay only when intentionally empty.","","lazy","","1376","768","111858"
"projects.html","featured/card","/assets/visuals/projects/thumbs/esp32-wifi-robot-controller-thumb.svg","240x150","215x121","356x200","16:9","object-fit:cover; object-position:50% 50%; max-height:none; css:215pxx120.938px; aspect-ratio:auto 1376 / 768","no","no","800x450","90 KB","WebP","WebP q76-82","OPTIONAL REPLACE","Missing/empty alt text; decorative is okay only when intentionally empty.","","lazy","","1376","768","4671"
"projects.html","featured/card","/assets/images/projects/project-a-01.webp","1376x768","215x121","356x200","16:9","object-fit:cover; object-position:50% 50%; max-height:none; css:215pxx120.938px; aspect-ratio:auto 1376 / 768","no","no","800x450","90 KB","WebP","WebP q76-82","OPTIONAL REPLACE","Generic legacy project/social image; optional replacement with page-specific crop. Missing/empty alt text; decorative is okay only when intentionally empty.","","lazy","","1376","768","124208"
"projects.html","featured/card","/assets/images/projects/project-a-02.webp","1376x768","215x121","356x200","16:9","object-fit:cover; object-position:50% 50%; max-height:none; css:215pxx120.938px; aspect-ratio:auto 1376 / 768","no","no","800x450","90 KB","WebP","WebP q76-82","OPTIONAL REPLACE","Generic legacy project/social image; optional replacement with page-specific crop. Missing/empty alt text; decorative is okay only when intentionally empty.","","lazy","","1376","768","144548"
"projects.html","og:image","/assets/images/og/esp32-project-library.webp","1200x630","0x0","0x0","1.91:1","meta only; no rendered CSS","no","no","1200x630","160 KB","WebP","WebP q78-84 or AVIF q45-55","KEEP","OG ratio matches social standard.","","","","1200","630","48846"
"guides/analog-inputs-reading-real-world.html","hero","/assets/images/guides/generated/analog-input-serial-monitor-1024.webp","1094x615","672x379","358x202","16:9","object-fit:contain; object-position:50% 50%; max-height:none; css:672pxx378.875px; aspect-ratio:auto 1024 / 576","no","no","1200x675","140 KB","WebP","WebP q78-84 or AVIF q45-55","KEEP","Already optimized generated asset; preserve unless crop/content is specifically rejected.","Analog Inputs: Reading the Real World guide illustration","eager","high","1024","576","54808"
"guides/analog-inputs-reading-real-world.html","og:image","/assets/images/og/esp32-engine-home.webp","1200x630","0x0","0x0","1.91:1","meta only; no rendered CSS","no","no","1200x630","160 KB","WebP","WebP q78-84 or AVIF q45-55","KEEP","OG ratio matches social standard.","","","","1200","630","45924"
"guides/analog-inputs.html","hero","/assets/images/academy/academy-mission-10.webp","1803x576","672x216","358x116","16:9","object-fit:contain; object-position:50% 50%; max-height:none; css:672pxx216.031px; aspect-ratio:auto 1024 / 576","no","no","1200x675","140 KB","WebP","WebP q78-84 or AVIF q45-55","KEEP","","Analog Inputs guide illustration","","","1024","576","133554"
"guides/analog-inputs.html","og:image","/assets/images/og/esp32-engine-home.webp","1200x630","0x0","0x0","1.91:1","meta only; no rendered CSS","no","no","1200x630","160 KB","WebP","WebP q78-84 or AVIF q45-55","KEEP","OG ratio matches social standard.","","","","1200","630","45924"
"guides/blink-led-esp32.html","hero","/assets/images/generated/esp32-blink-led-guide.webp","1600x900","672x379","358x202","16:9","object-fit:contain; object-position:50% 50%; max-height:none; css:672pxx378.875px; aspect-ratio:auto 1024 / 576","hero+og:image","yes: visible 16:9 asset plus dedicated 1200x630 OG crop","1200x675","140 KB","WebP","WebP q78-84 or AVIF q45-55","KEEP","Already optimized generated asset; preserve unless crop/content is specifically rejected.","Blink an LED with ESP32 guide illustration","","","1024","576","93104"
"guides/blink-led-esp32.html","section illustration","/assets/visuals/guides/wiring/blink-led-wiring-esp32.svg","unknown","720x2","358x2","3:2","object-fit:fill; object-position:50% 50%; max-height:none; css:720pxx2px; aspect-ratio:auto","no","no","1200x800","160 KB","SVG preferred","SVG preferred for diagrams; PNG only for transparency/raster required","KEEP","Technical diagram/vector asset; do not replace with AI art.","Breadboard wiring diagram — ESP32 GPIO 2 through a 220 ohm resistor to the LED long leg, LED short leg to GND","lazy","","","","4468"
"guides/blink-led-esp32.html","og:image","/assets/images/generated/esp32-blink-led-guide.webp","1600x900","0x0","0x0","1.91:1","meta only; no rendered CSS","hero+og:image","no","1200x630","160 KB","WebP","WebP q78-84 or AVIF q45-55","KEEP","OG ratio matches social standard.","","","","1200","630","93104"
"guides/button-led-control.html","hero","/assets/images/academy/academy-mission-04.webp","1376x768","672x376","358x201","16:9","object-fit:contain; object-position:50% 50%; max-height:none; css:672pxx375.953px; aspect-ratio:auto 1024 / 576","no","no","1200x675","140 KB","WebP","WebP q78-84 or AVIF q45-55","KEEP","","Button Controls LED with ESP32 guide illustration","","","1024","576","145956"
"guides/button-led-control.html","og:image","/assets/images/og/esp32-engine-home.webp","1200x630","0x0","0x0","1.91:1","meta only; no rendered CSS","no","no","1200x630","160 KB","WebP","WebP q78-84 or AVIF q45-55","KEEP","OG ratio matches social standard.","","","","1200","630","45924"
"guides/connect-oled-esp32.html","hero","/assets/images/generated/esp32-connect-oled-guide.webp","1600x900","672x379","358x202","16:9","object-fit:contain; object-position:50% 50%; max-height:none; css:672pxx378.875px; aspect-ratio:auto 1024 / 576","hero+og:image","yes: visible 16:9 asset plus dedicated 1200x630 OG crop","1200x675","140 KB","WebP","WebP q78-84 or AVIF q45-55","KEEP","Already optimized generated asset; preserve unless crop/content is specifically rejected.","Connect OLED Display with ESP32 guide illustration","","","1024","576","93116"
"guides/connect-oled-esp32.html","og:image","/assets/images/generated/esp32-connect-oled-guide.webp","1600x900","0x0","0x0","1.91:1","meta only; no rendered CSS","hero+og:image","no","1200x630","160 KB","WebP","WebP q78-84 or AVIF q45-55","KEEP","OG ratio matches social standard.","","","","1200","630","93116"
"guides/debouncing-buttons.html","hero","/assets/images/academy/academy-mission-07.webp","1376x768","672x376","358x201","16:9","object-fit:contain; object-position:50% 50%; max-height:none; css:672pxx375.953px; aspect-ratio:auto 1024 / 576","no","no","1200x675","140 KB","WebP","WebP q78-84 or AVIF q45-55","KEEP","","Button Debouncing guide illustration","","","1024","576","147252"
"guides/debouncing-buttons.html","og:image","/assets/images/og/esp32-engine-home.webp","1200x630","0x0","0x0","1.91:1","meta only; no rendered CSS","no","no","1200x630","160 KB","WebP","WebP q78-84 or AVIF q45-55","KEEP","OG ratio matches social standard.","","","","1200","630","45924"
"guides/digital-inputs-floating-pins.html","hero","/assets/images/academy/academy-mission-05.webp","1376x768","672x376","358x201","16:9","object-fit:contain; object-position:50% 50%; max-height:none; css:672pxx375.953px; aspect-ratio:auto 1024 / 576","no","no","1200x675","140 KB","WebP","WebP q78-84 or AVIF q45-55","KEEP","","Understanding Digital Inputs and Floating Pins guide illustration","","","1024","576","145702"
"guides/digital-inputs-floating-pins.html","og:image","/assets/images/og/esp32-engine-home.webp","1200x630","0x0","0x0","1.91:1","meta only; no rendered CSS","no","no","1200x630","160 KB","WebP","WebP q78-84 or AVIF q45-55","KEEP","OG ratio matches social standard.","","","","1200","630","45924"
"guides/environmental-sensors.html","hero","/assets/images/guides/generated/environmental-sensor-modules-1024.webp","1094x615","672x379","358x202","16:9","object-fit:contain; object-position:50% 50%; max-height:none; css:672pxx378.875px; aspect-ratio:auto 1024 / 576","no","no","1200x675","140 KB","WebP","WebP q78-84 or AVIF q45-55","KEEP","Already optimized generated asset; preserve unless crop/content is specifically rejected.","Reading Environmental Sensors guide illustration","eager","high","1024","576","35702"
"guides/environmental-sensors.html","og:image","/assets/images/og/esp32-engine-home.webp","1200x630","0x0","0x0","1.91:1","meta only; no rendered CSS","no","no","1200x630","160 KB","WebP","WebP q78-84 or AVIF q45-55","KEEP","OG ratio matches social standard.","","","","1200","630","45924"
"guides/i2c-communication.html","hero","/assets/images/academy/academy-mission-12.webp","1376x768","672x376","358x201","16:9","object-fit:contain; object-position:50% 50%; max-height:none; css:672pxx375.953px; aspect-ratio:auto 1024 / 576","no","no","1200x675","140 KB","WebP","WebP q78-84 or AVIF q45-55","KEEP","","I2C Communication guide illustration","","","1024","576","119960"
"guides/i2c-communication.html","og:image","/assets/images/og/esp32-engine-home.webp","1200x630","0x0","0x0","1.91:1","meta only; no rendered CSS","no","no","1200x630","160 KB","WebP","WebP q78-84 or AVIF q45-55","KEEP","OG ratio matches social standard.","","","","1200","630","45924"
"guides/installing-arduino-ide-esp32.html","hero","/assets/images/guides/generated/arduino-ide-esp32-setup-1024.webp","1094x615","1200x676","358x202","16:9","object-fit:contain; object-position:50% 50%; max-height:none; css:1200pxx675.875px; aspect-ratio:auto 1024 / 576","no","no","1200x675","140 KB","WebP","WebP q78-84 or AVIF q45-55","KEEP","Already optimized generated asset; preserve unless crop/content is specifically rejected.","Installing Arduino IDE for ESP32: Complete Setup Guide guide illustration","eager","high","1024","576","32762"
"guides/installing-arduino-ide-esp32.html","og:image","/assets/images/og/esp32-engine-home.webp","1200x630","0x0","0x0","1.91:1","meta only; no rendered CSS","no","no","1200x630","160 KB","WebP","WebP q78-84 or AVIF q45-55","KEEP","OG ratio matches social standard.","","","","1200","630","45924"
"guides/multiple-buttons-state-detection.html","hero","/assets/images/academy/academy-mission-08.webp","1376x768","672x376","358x201","16:9","object-fit:contain; object-position:50% 50%; max-height:none; css:672pxx375.953px; aspect-ratio:auto 1024 / 576","no","no","1200x675","140 KB","WebP","WebP q78-84 or AVIF q45-55","KEEP","","Multiple Buttons & State Detection guide illustration","","","1024","576","155142"
"guides/multiple-buttons-state-detection.html","og:image","/assets/images/og/esp32-engine-home.webp","1200x630","0x0","0x0","1.91:1","meta only; no rendered CSS","no","no","1200x630","160 KB","WebP","WebP q78-84 or AVIF q45-55","KEEP","OG ratio matches social standard.","","","","1200","630","45924"
"guides/oled-display-esp32.html","hero","/assets/images/academy/academy-mission-11.webp","1376x768","672x376","358x201","16:9","object-fit:contain; object-position:50% 50%; max-height:none; css:672pxx375.953px; aspect-ratio:auto 1024 / 576","no","no","1200x675","140 KB","WebP","WebP q78-84 or AVIF q45-55","KEEP","","OLED Display with ESP32 guide illustration","","","1024","576","114746"
"guides/oled-display-esp32.html","og:image","/assets/images/og/esp32-engine-home.webp","1200x630","0x0","0x0","1.91:1","meta only; no rendered CSS","no","no","1200x630","160 KB","WebP","WebP q78-84 or AVIF q45-55","KEEP","OG ratio matches social standard.","","","","1200","630","45924"
